name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.leads\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""leads"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_leads
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.attachments\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""attachments"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_attachments
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.instagram_config\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""instagram_config"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_instagram_config
sensitive_columns_exposed,Sensitive Columns Exposed,ERROR,EXTERNAL,"[""SECURITY""]","Detects tables exposed via API that contain columns with potentially sensitive data (PII, credentials, financial info) without RLS protection.",Table `public.instagram_config` is exposed via API without RLS and contains potentially sensitive column(s): access_token. This may lead to data exposure.,https://supabase.com/docs/guides/database/database-linter?lint=0023_sensitive_columns_exposed,"{""name"":""instagram_config"",""type"":""table"",""schema"":""public"",""matched_patterns"":[""access_token""],""sensitive_columns"":[""access_token""]}",sensitive_columns_exposed_public_instagram_config
